rpf_key,code,name,rpt_file,group,sql_len,legacy_tables
496,SQL09101014,รายงานสรุปใบเสนอราคา ตามสินค้า,IC091014.rpt,SQL,2579,DOCINFO
497,SQL09101001,รายงานรายละเอียดใบเสนอราคาตามเอกสาร,IC091001.rpt,SQL,2373,DOCINFO
498,TFRM1170102,ใบเสนอราคาสินค้า Text Mode พร้อมรหัส,TDOC11702.txt,TFRM,0,
503,SQL110012017,รายงานสรุปใบเสนอราคา ตามเอกสาร,IC110212_02.rpt,SQL,2746,DOCINFO
504,SQL09101013,รายงานสรุปสินค้าใบเสนอราคา ตามลูกหนี้,IC091013.rpt,SQL,2579,DOCINFO
505,SQL09101006,รายงานรายละเอียดใบเสนอราคา ตามสินค้า,IC091006.rpt,SQL,2579,DOCINFO
506,SQL09101007,รายงานรายละเอียดใบเสนอราคาสินค้า ตามลูกหนี้,IC091007.rpt,SQL,2578,DOCINFO
507,FRM1170101,ใบเสนอราคาสินค้า,DOC11701.rpt,FRM,0,
508,FRM1170102,ใบเสนอราคาสินค้าพร้อมรหัสสินค้า,DOC11702.rpt,FRM,0,
509,FRM1170103,ใบเสนอราคาสินค้า แบบเส้นและตาราง,DOC11703.rpt,FRM,0,
510,FRM1170104,ใบเสนอราคาสินค้า แบบเส้นและตาราง พร้อมรหัสสินค้า,DOC11704.rpt,FRM,0,
511,FRM1320001,ใบเสนอราคาพร้อมรูปภาพสินค้า,DOC11703_2.rpt,FRM,0,
512,FRM1170105,ใบเสนอราคาสินค้า (Letter),DOC11705.RPT,FRM,0,
513,SQL11001205,"รายงานสรุปยอดขาย,รับคืน และยอดจองตามวันที่",IC110205.rpt,SQL,1908,ARCAT ARDETAIL ARFILE AROE BRANCH DEPTTAB DOCINFO DOCTYPE MKTPLAN PRJTAB PRMTPLAN TRANSTKH
517,SQL11001202,"รายงานสรุปเอกสาร ขายและรับคืน-แสดงยอดสินค้ามีภาษี,ยกเว้นภาษี",IC110202.rpt,SQL,1136,DOCINFO
518,SQL11001204,รายงานสรุปเอกสาร ขายและรับคืน ตามประเภทลูกหนี้,IC110204.rpt,SQL,1172,DOCINFO
519,SQL11001203,รายงานรายละเอียด เอกสารขายและรับคืน ตามประเภทลูกหนี้,IC110203.rpt,SQL,2257,DOCINFO
520,SQL11001201,รายงานรายละเอียด เอกสารขายและรับคืน ตามลูกหนี้,IC110201.rpt,SQL,2214,DOCINFO
522,SQL11001004_02,รายงานรายละเอียดการขาย แสดง Lot/Serial,IC110004_02.rpt,SQL,2943,DOCINFO
523,SQL11001004_01,รายงานรายละเอียดการขายสด แสดง Lot/Serial,IC110004_01.rpt,SQL,2943,DOCINFO
524,SQL11001200,รายงานรายละเอียด เอกสารขายและรับคืน ตามลูกหนี้(กรองสกุลเงิน),IC110200.rpt,SQL,1806,ARCAT ARDETAIL ARFILE BRANCH BRAND DEPTTAB DOCINFO DOCTYPE EXCHANGERATE GOODSMASTER ICCAT ICCOLOR ICDEPT ICSIZE MKTPLAN PRJTAB PRMTPLAN SALESMAN SHIPBY SKUALT SKUMASTER SLDETAIL TRANSTKD TRANSTKH VATTABLE WAREHOUSE WARELOCATION
525,TFRM1080201,ใบเบิกสินค้า Text Mode,TDOC10801.txt,TFRM,0,
527,SQL12000001_1,รายงานใบเบิกสินค้าตามเอกสาร,IC120001_1.rpt,SQL,1696,DOCINFO
531,SQL120010113,รายงานสรุปใบเบิกสินค้า - ตามเอกสาร,IC120062.rpt,SQL,880,DOCINFO
534,SQL12000012,รายงานสรุปเบิกใช้ ตามสินค้า,IC120012.rpt,SQL,1209,TRANSTKD
535,SQL12000025,รายงานสรุปใบเบิกใช้สินค้า ตามหมวด,IC120025.rpt,SQL,1237,TRANSTKD
536,SQL12000027,รายงานสรุปใบเบิกใช้สินค้า ตามโครงการ,IC120027.rpt,SQL,1227,TRANSTKD
537,SQL12000028,รายงานสรุปใบเบิกใช้สินค้า ตามแผนก,IC120028.rpt,SQL,1233,TRANSTKD
